subscription_event_id,customer_id,subscription_id,event_type,plan,created_at
subevt_001411,cust_0245,sub_00612,renew,enterprise,2026-01-31T08:54:50Z
subevt_002232,cust_0370,sub_00973,start,pro,2026-01-21T12:15:38Z
subevt_000512,cust_0280,sub_00213,cancel,pro,2026-01-31T18:29:37Z
subevt_000958,cust_0326,sub_00412,start,pro,2026-01-24T00:53:25Z
subevt_000673,cust_0235,sub_00286,start,enterprise,2026-01-30T07:11:27Z
subevt_002298,cust_0318,sub_01002,start,pro,2026-01-11T08:37:26Z
subevt_000638,cust_0216,sub_00272,start,pro,2026-01-20T09:52:40Z
subevt_001280,cust_0158,sub_00549,cancel,enterprise,2026-01-18T19:49:33Z
subevt_001702,cust_0334,sub_00738,renew,basic,2026-01-31T00:17:54Z
subevt_001437,cust_0148,sub_00623,cancel,enterprise,2026-01-13T21:53:08Z
subevt_000060,cust_0182,sub_00022,renew,basic,2026-01-30T05:34:35Z
subevt_001390,cust_0123,sub_00602,renew,pro,2026-01-29T10:23:15Z
subevt_002319,cust_0032,sub_01010,renew,basic,2026-01-21T10:58:43Z
subevt_001393,cust_0232,sub_00604,start,basic,2026-01-12T10:55:42Z
subevt_001002,cust_0002,sub_00433,renew,pro,2026-01-07T07:26:22Z
subevt_000881,cust_0025,sub_00381,start,pro,2026-01-14T11:06:53Z
subevt_000647,cust_0130,sub_00276,start,pro,2026-01-21T18:14:26Z
subevt_000715,cust_0287,sub_00305,start,pro,2026-01-10T06:19:32Z
subevt_000570,cust_0015,sub_00241,start,pro,2026-01-07T17:40:39Z
subevt_001370,cust_0195,sub_00594,start,pro,2026-01-20T13:09:12Z
subevt_000427,cust_0289,sub_00180,start,enterprise,2026-01-17T04:14:16Z
subevt_001290,cust_0213,sub_00555,renew,pro,2026-01-31T17:19:01Z
subevt_000952,cust_0189,sub_00410,start,pro,2026-01-18T04:50:29Z
subevt_001827,cust_0303,sub_00797,start,pro,2026-01-21T04:23:30Z
subevt_001351,cust_0099,sub_00584,start,pro,2026-01-08T11:08:02Z
subevt_000099,cust_0393,sub_00037,renew,enterprise,2026-01-21T17:54:07Z
subevt_001752,cust_0333,sub_00762,cancel,basic,2026-01-15T02:58:21Z
subevt_001538,cust_0294,sub_00667,cancel,pro,2026-01-15T07:07:51Z
subevt_001106,cust_0299,sub_00477,start,pro,2026-01-31T10:45:23Z
subevt_000252,cust_0130,sub_00109,start,basic,2026-01-11T21:00:10Z
subevt_000066,cust_0049,sub_00025,start,basic,2026-01-20T12:36:34Z
subevt_000038,cust_0351,sub_00014,renew,basic,2026-01-31T16:29:18Z
subevt_000707,cust_0159,sub_00301,renew,pro,2026-01-31T01:57:30Z
subevt_001605,cust_0258,sub_00696,renew,basic,2026-01-21T11:35:54Z
subevt_000274,cust_0364,sub_00117,start,enterprise,2026-01-21T17:14:09Z
subevt_002093,cust_0299,sub_00912,renew,enterprise,2026-01-25T02:42:28Z
subevt_001291,cust_0213,sub_00555,renew,pro,2026-01-31T15:09:49Z
subevt_000915,cust_0075,sub_00396,start,pro,2026-01-30T17:42:23Z
subevt_000917,cust_0075,sub_00396,renew,pro,2026-01-31T11:55:09Z
subevt_000643,cust_0368,sub_00274,renew,basic,2026-01-31T08:36:51Z
subevt_001214,cust_0332,sub_00523,renew,enterprise,2026-01-31T19:58:54Z
subevt_001056,cust_0004,sub_00454,renew,pro,2026-01-30T08:19:34Z
subevt_000645,cust_0104,sub_00275,renew,enterprise,2026-01-29T05:01:05Z
subevt_001886,cust_0002,sub_00820,cancel,enterprise,2026-01-31T10:11:18Z
subevt_000694,cust_0288,sub_00297,renew,pro,2026-01-31T02:09:37Z
subevt_001580,cust_0011,sub_00686,renew,enterprise,2026-01-31T17:35:18Z
subevt_001000,cust_0391,sub_00432,start,basic,2026-01-17T02:29:50Z
subevt_002348,cust_0283,sub_01022,renew,pro,2026-01-23T03:43:54Z
subevt_001331,cust_0399,sub_00575,renew,basic,2026-01-26T14:51:20Z
subevt_001153,cust_0063,sub_00500,start,enterprise,2026-01-26T19:15:49Z
subevt_002355,cust_0029,sub_01025,start,basic,2026-01-26T22:34:54Z
subevt_001697,cust_0237,sub_00737,start,basic,2026-01-19T23:20:01Z
subevt_002365,cust_0001,sub_01030,start,pro,2026-01-27T00:56:49Z
subevt_001350,cust_0164,sub_00583,renew,enterprise,2026-01-20T10:31:36Z
subevt_001279,cust_0158,sub_00549,start,enterprise,2026-01-11T14:39:41Z
subevt_000077,cust_0077,sub_00029,cancel,basic,2026-01-13T17:41:46Z
subevt_001934,cust_0289,sub_00842,start,pro,2026-01-27T03:40:02Z
subevt_002288,cust_0232,sub_00998,start,pro,2026-01-22T00:14:13Z
subevt_001219,cust_0281,sub_00524,cancel,enterprise,2026-01-20T01:43:11Z
subevt_000532,cust_0079,sub_00223,start,pro,2026-01-14T22:45:15Z
subevt_001402,cust_0268,sub_00609,start,enterprise,2026-01-20T04:11:32Z
subevt_000557,cust_0108,sub_00235,start,basic,2026-01-27T08:05:00Z
subevt_000864,cust_0111,sub_00374,renew,pro,2026-01-23T13:54:10Z
subevt_002379,cust_0017,sub_01037,start,basic,2026-01-06T12:16:50Z
subevt_000221,cust_0354,sub_00093,renew,basic,2026-01-31T16:41:45Z
subevt_001233,cust_0302,sub_00529,renew,enterprise,2026-01-14T00:14:45Z
subevt_001507,cust_0041,sub_00655,renew,enterprise,2026-01-25T19:54:49Z
subevt_001928,cust_0314,sub_00838,renew,enterprise,2026-01-31T11:45:46Z
subevt_002146,cust_0096,sub_00935,renew,pro,2026-01-03T12:47:49Z
subevt_001499,cust_0394,sub_00652,renew,enterprise,2026-01-19T05:22:35Z
subevt_001570,cust_0139,sub_00683,start,pro,2026-01-21T15:36:12Z
subevt_002161,cust_0048,sub_00940,renew,pro,2026-01-17T04:19:44Z
subevt_001790,cust_0293,sub_00779,renew,enterprise,2026-01-10T05:03:36Z
subevt_000463,cust_0085,sub_00195,cancel,pro,2026-01-28T15:06:27Z
subevt_000723,cust_0310,sub_00307,cancel,pro,2026-01-31T02:36:03Z
subevt_000494,cust_0360,sub_00207,renew,pro,2026-01-31T00:02:51Z
subevt_001950,cust_0310,sub_00848,start,basic,2026-01-18T05:51:57Z
subevt_000042,cust_0141,sub_00016,renew,basic,2026-01-31T17:47:02Z
subevt_000546,cust_0153,sub_00230,renew,basic,2026-01-31T03:03:35Z
subevt_001815,cust_0269,sub_00791,cancel,basic,2026-01-22T01:52:00Z
subevt_000220,cust_0354,sub_00093,renew,basic,2026-01-29T04:25:43Z
subevt_002236,cust_0012,sub_00975,start,enterprise,2026-01-04T09:22:29Z
subevt_000031,cust_0331,sub_00012,renew,pro,2026-01-08T17:19:24Z
subevt_002072,cust_0062,sub_00902,start,pro,2026-01-24T04:47:27Z
subevt_001626,cust_0292,sub_00705,cancel,enterprise,2026-01-31T14:02:40Z
subevt_002281,cust_0347,sub_00995,renew,pro,2026-01-31T04:36:08Z
subevt_002143,cust_0333,sub_00934,renew,basic,2026-01-30T07:56:28Z
subevt_001804,cust_0245,sub_00787,start,pro,2026-01-15T09:04:22Z
subevt_000861,cust_0132,sub_00373,renew,pro,2026-01-31T07:04:40Z
subevt_000910,cust_0313,sub_00394,renew,pro,2026-01-23T06:35:43Z
subevt_000867,cust_0375,sub_00375,cancel,enterprise,2026-01-31T06:38:42Z
subevt_001566,cust_0021,sub_00681,renew,basic,2026-01-21T17:08:44Z
subevt_001652,cust_0165,sub_00715,renew,pro,2026-01-31T22:24:40Z
subevt_000285,cust_0285,sub_00121,start,enterprise,2026-01-09T05:44:15Z
subevt_000182,cust_0276,sub_00073,cancel,basic,2026-01-25T11:53:33Z
subevt_000523,cust_0240,sub_00218,renew,basic,2026-01-18T00:29:24Z
subevt_001244,cust_0107,sub_00534,start,enterprise,2026-01-19T06:45:01Z
subevt_001493,cust_0025,sub_00648,cancel,pro,2026-01-23T06:52:45Z
subevt_000731,cust_0029,sub_00311,renew,enterprise,2026-01-29T18:43:05Z
subevt_001367,cust_0038,sub_00592,start,enterprise,2026-01-22T13:28:54Z
subevt_001418,cust_0392,sub_00615,renew,enterprise,2026-01-16T07:12:16Z
subevt_001567,cust_0273,sub_00682,start,enterprise,2026-01-02T03:48:47Z
subevt_000262,cust_0057,sub_00113,start,pro,2026-01-02T12:56:27Z
subevt_001952,cust_0310,sub_00848,cancel,basic,2026-01-27T17:46:43Z
subevt_000411,cust_0011,sub_00174,renew,basic,2026-01-25T12:53:35Z
subevt_001445,cust_0048,sub_00626,renew,enterprise,2026-01-31T20:46:32Z
subevt_000484,cust_0199,sub_00203,renew,enterprise,2026-01-25T07:26:18Z
subevt_001242,cust_0358,sub_00533,renew,basic,2026-01-30T03:45:35Z
subevt_000823,cust_0156,sub_00352,renew,pro,2026-01-19T13:12:26Z
subevt_001449,cust_0080,sub_00628,renew,basic,2026-01-08T11:40:06Z
subevt_000045,cust_0256,sub_00017,renew,basic,2026-01-22T17:04:06Z
subevt_001587,cust_0002,sub_00690,start,basic,2026-01-05T14:17:45Z
subevt_001063,cust_0019,sub_00457,renew,pro,2026-01-28T03:39:32Z
subevt_000406,cust_0400,sub_00171,renew,enterprise,2026-01-30T03:51:19Z
subevt_001560,cust_0202,sub_00679,start,basic,2026-01-14T16:32:15Z
subevt_000018,cust_0075,sub_00007,renew,basic,2026-01-15T10:41:55Z
subevt_000742,cust_0135,sub_00317,start,pro,2026-01-18T18:23:40Z
subevt_000548,cust_0379,sub_00231,renew,pro,2026-01-29T15:19:03Z
subevt_001849,cust_0398,sub_00804,renew,pro,2026-01-31T15:12:56Z
subevt_000490,cust_0027,sub_00205,cancel,enterprise,2026-01-05T08:46:08Z
subevt_000391,cust_0142,sub_00164,renew,pro,2026-01-04T01:11:05Z
subevt_001252,cust_0038,sub_00536,cancel,enterprise,2026-01-23T11:16:42Z
subevt_001726,cust_0204,sub_00751,start,enterprise,2026-01-24T17:26:31Z
subevt_002302,cust_0134,sub_01004,start,pro,2026-01-28T14:28:49Z
subevt_001423,cust_0067,sub_00616,cancel,pro,2026-01-28T13:20:07Z
subevt_001256,cust_0214,sub_00539,start,pro,2026-01-18T02:42:49Z
subevt_001582,cust_0277,sub_00687,renew,enterprise,2026-01-31T07:54:30Z
subevt_001036,cust_0060,sub_00447,renew,pro,2026-01-15T14:25:36Z
subevt_001534,cust_0399,sub_00666,start,pro,2026-01-01T17:23:28Z
subevt_002171,cust_0202,sub_00944,renew,basic,2026-01-31T07:45:06Z
subevt_001141,cust_0181,sub_00495,start,basic,2026-01-24T02:49:51Z
subevt_002255,cust_0305,sub_00984,start,pro,2026-01-27T02:10:07Z
subevt_001990,cust_0268,sub_00865,renew,enterprise,2026-01-31T20:56:43Z
subevt_002266,cust_0044,sub_00988,renew,pro,2026-01-29T05:27:18Z
subevt_000433,cust_0040,sub_00182,cancel,pro,2026-01-11T21:41:54Z
subevt_002103,cust_0136,sub_00917,start,enterprise,2026-01-07T10:50:40Z
subevt_001641,cust_0329,sub_00711,renew,enterprise,2026-01-31T10:36:09Z
subevt_001665,cust_0172,sub_00721,renew,basic,2026-01-31T11:21:56Z
subevt_001342,cust_0197,sub_00580,start,enterprise,2026-01-07T09:46:09Z
subevt_001743,cust_0122,sub_00758,renew,pro,2026-01-31T21:12:45Z
subevt_001116,cust_0082,sub_00483,renew,pro,2026-01-20T04:14:20Z
subevt_001420,cust_0067,sub_00616,start,pro,2026-01-22T22:23:25Z
subevt_001246,cust_0107,sub_00534,cancel,enterprise,2026-01-21T03:13:03Z
subevt_000269,cust_0355,sub_00115,renew,enterprise,2026-01-31T11:47:17Z
subevt_000167,cust_0201,sub_00067,start,basic,2026-01-27T09:50:28Z
subevt_002184,cust_0003,sub_00950,cancel,enterprise,2026-01-15T22:22:26Z
subevt_001439,cust_0087,sub_00624,renew,basic,2026-01-10T10:56:22Z
subevt_002011,cust_0323,sub_00874,start,pro,2026-01-06T22:33:54Z
subevt_002012,cust_0323,sub_00874,cancel,pro,2026-01-09T13:21:08Z
subevt_000653,cust_0287,sub_00278,start,pro,2026-01-07T17:51:45Z
subevt_000580,cust_0271,sub_00246,start,enterprise,2026-01-06T18:24:15Z
subevt_001910,cust_0019,sub_00831,renew,pro,2026-01-18T07:58:16Z
subevt_000724,cust_0001,sub_00308,start,pro,2026-01-21T13:14:34Z
subevt_002283,cust_0347,sub_00995,cancel,pro,2026-01-31T20:16:28Z
subevt_001069,cust_0104,sub_00460,renew,pro,2026-01-26T15:06:18Z
subevt_002060,cust_0213,sub_00897,cancel,pro,2026-01-02T16:41:26Z
subevt_001573,cust_0231,sub_00684,start,enterprise,2026-01-01T08:12:07Z
subevt_001446,cust_0102,sub_00627,start,basic,2026-01-08T08:42:09Z
subevt_001258,cust_0343,sub_00540,renew,basic,2026-01-19T21:54:30Z
subevt_001939,cust_0079,sub_00844,start,enterprise,2026-01-13T03:57:42Z
subevt_000733,cust_0111,sub_00312,start,basic,2026-01-31T08:42:50Z
subevt_000671,cust_0162,sub_00285,start,basic,2026-01-27T04:45:09Z
subevt_000676,cust_0055,sub_00288,start,basic,2026-01-24T16:17:26Z
subevt_001140,cust_0183,sub_00494,start,pro,2026-01-06T12:02:50Z
subevt_001838,cust_0366,sub_00801,renew,enterprise,2026-01-25T13:47:58Z
subevt_001716,cust_0129,sub_00746,renew,pro,2026-01-11T20:12:37Z
subevt_000227,cust_0330,sub_00096,renew,enterprise,2026-01-25T03:03:29Z
subevt_001011,cust_0366,sub_00436,renew,enterprise,2026-01-20T20:21:18Z
subevt_001689,cust_0186,sub_00734,start,basic,2026-01-10T19:42:00Z
subevt_001229,cust_0018,sub_00527,cancel,enterprise,2026-01-18T03:24:39Z
subevt_000199,cust_0012,sub_00083,start,pro,2026-01-23T15:00:46Z
subevt_001187,cust_0011,sub_00512,start,pro,2026-01-13T18:52:22Z
subevt_000729,cust_0180,sub_00310,cancel,basic,2026-01-25T10:01:15Z
subevt_001374,cust_0242,sub_00596,start,pro,2026-01-11T16:26:25Z
subevt_001795,cust_0273,sub_00781,renew,pro,2026-01-23T08:50:26Z
subevt_000920,cust_0380,sub_00398,start,pro,2026-01-09T07:13:38Z
subevt_000394,cust_0036,sub_00165,start,enterprise,2026-01-04T20:49:56Z
subevt_001628,cust_0018,sub_00706,renew,basic,2026-01-28T23:54:20Z
subevt_000919,cust_0348,sub_00397,cancel,basic,2026-01-24T13:07:19Z
subevt_000180,cust_0276,sub_00073,start,basic,2026-01-19T22:00:31Z
subevt_000358,cust_0026,sub_00151,start,basic,2026-01-01T10:24:02Z
subevt_000974,cust_0171,sub_00419,renew,basic,2026-01-13T05:37:55Z
subevt_001077,cust_0015,sub_00463,renew,enterprise,2026-01-13T13:43:59Z
subevt_000518,cust_0275,sub_00217,start,pro,2026-01-03T11:38:10Z
subevt_000019,cust_0075,sub_00007,renew,basic,2026-01-18T02:40:05Z
subevt_002216,cust_0240,sub_00964,renew,enterprise,2026-01-14T03:48:41Z
subevt_001948,cust_0077,sub_00847,renew,basic,2026-01-25T03:30:49Z
subevt_001197,cust_0220,sub_00515,cancel,enterprise,2026-01-08T02:27:11Z
subevt_001958,cust_0141,sub_00851,start,pro,2026-01-24T17:46:28Z
subevt_001819,cust_0147,sub_00793,start,pro,2026-01-20T18:33:29Z
subevt_000089,cust_0159,sub_00034,renew,enterprise,2026-01-10T06:44:26Z
subevt_001054,cust_0252,sub_00453,renew,basic,2026-01-08T20:48:15Z
subevt_001753,cust_0340,sub_00763,start,enterprise,2026-01-01T12:44:54Z
subevt_000143,cust_0092,sub_00056,renew,enterprise,2026-01-27T02:06:36Z
subevt_002228,cust_0067,sub_00971,start,enterprise,2026-01-12T15:20:52Z
subevt_001210,cust_0166,sub_00520,cancel,pro,2026-01-27T14:26:00Z
subevt_001016,cust_0153,sub_00439,renew,enterprise,2026-01-24T11:59:41Z
subevt_001602,cust_0007,sub_00695,renew,enterprise,2026-01-31T06:03:12Z
subevt_000745,cust_0190,sub_00318,start,basic,2026-01-15T00:54:54Z
subevt_002332,cust_0243,sub_01016,start,basic,2026-01-08T19:12:25Z
subevt_002129,cust_0078,sub_00926,renew,enterprise,2026-01-31T23:27:44Z
subevt_000650,cust_0045,sub_00277,start,basic,2026-01-08T13:07:18Z
subevt_000583,cust_0008,sub_00247,start,pro,2026-01-25T14:31:30Z
subevt_000154,cust_0340,sub_00060,start,enterprise,2026-01-13T07:45:39Z
subevt_002337,cust_0039,sub_01017,renew,enterprise,2026-01-30T15:07:26Z
subevt_000485,cust_0333,sub_00204,start,enterprise,2026-01-16T03:31:40Z
subevt_002273,cust_0083,sub_00991,renew,enterprise,2026-01-27T02:11:27Z
subevt_000616,cust_0164,sub_00261,start,pro,2026-01-18T23:10:40Z
subevt_000164,cust_0027,sub_00066,start,basic,2026-01-10T13:30:36Z
subevt_000471,cust_0116,sub_00198,renew,pro,2026-01-31T22:40:24Z
subevt_002007,cust_0008,sub_00872,renew,basic,2026-01-23T02:33:00Z
subevt_002148,cust_0160,sub_00936,start,basic,2026-01-19T20:53:43Z
subevt_000777,cust_0073,sub_00332,start,basic,2026-01-26T00:44:33Z
subevt_001046,cust_0091,sub_00451,renew,basic,2026-01-31T03:18:43Z
subevt_000348,cust_0341,sub_00147,renew,enterprise,2026-01-21T06:14:34Z
subevt_001180,cust_0378,sub_00509,renew,pro,2026-01-16T07:57:11Z
subevt_001525,cust_0169,sub_00662,renew,basic,2026-01-27T04:48:42Z
subevt_002001,cust_0382,sub_00870,start,pro,2026-01-11T20:26:22Z
subevt_001467,cust_0348,sub_00635,start,basic,2026-01-27T12:09:30Z
subevt_001535,cust_0294,sub_00667,start,pro,2026-01-03T19:42:44Z
subevt_001358,cust_0308,sub_00587,start,enterprise,2026-01-23T10:36:10Z
subevt_001166,cust_0052,sub_00505,start,enterprise,2026-01-15T01:16:28Z
subevt_000684,cust_0132,sub_00292,renew,basic,2026-01-21T05:06:09Z
subevt_001385,cust_0260,sub_00600,start,enterprise,2026-01-19T14:13:49Z
subevt_000608,cust_0213,sub_00257,renew,pro,2026-01-20T23:08:04Z
subevt_002044,cust_0120,sub_00890,start,basic,2026-01-15T23:59:42Z
subevt_001985,cust_0352,sub_00863,start,basic,2026-01-09T10:53:49Z
subevt_001186,cust_0392,sub_00511,renew,pro,2026-01-24T08:30:14Z
subevt_002259,cust_0171,sub_00985,renew,pro,2026-01-05T11:36:10Z
subevt_000469,cust_0020,sub_00197,renew,basic,2026-01-31T08:46:22Z
subevt_000006,cust_0163,sub_00002,cancel,pro,2026-01-20T20:44:36Z
subevt_001901,cust_0087,sub_00828,start,pro,2026-01-02T11:38:04Z
subevt_001902,cust_0087,sub_00828,renew,pro,2026-01-08T08:38:04Z
subevt_000039,cust_0028,sub_00015,start,basic,2026-01-18T19:11:00Z
subevt_001963,cust_0002,sub_00853,start,enterprise,2026-01-07T00:00:34Z
subevt_001191,cust_0356,sub_00513,renew,enterprise,2026-01-10T01:12:56Z
subevt_000037,cust_0351,sub_00014,renew,basic,2026-01-28T20:59:36Z
subevt_000116,cust_0128,sub_00045,renew,enterprise,2026-01-31T02:09:23Z
subevt_000030,cust_0331,sub_00012,start,pro,2026-01-04T03:29:59Z
subevt_001195,cust_0220,sub_00515,start,enterprise,2026-01-08T16:04:19Z
subevt_000978,cust_0396,sub_00421,renew,pro,2026-01-31T20:35:57Z
subevt_001675,cust_0094,sub_00725,renew,basic,2026-01-17T18:47:18Z
subevt_000460,cust_0300,sub_00193,renew,pro,2026-01-31T21:30:50Z
subevt_000740,cust_0038,sub_00315,start,enterprise,2026-01-04T02:35:54Z
subevt_001404,cust_0268,sub_00609,renew,enterprise,2026-01-27T19:28:35Z
subevt_002331,cust_0207,sub_01015,start,basic,2026-01-03T17:47:46Z
subevt_001734,cust_0332,sub_00754,renew,pro,2026-01-11T02:30:56Z
subevt_000872,cust_0029,sub_00377,start,enterprise,2026-01-09T23:17:49Z
subevt_002360,cust_0245,sub_01027,renew,basic,2026-01-31T18:51:21Z
subevt_001581,cust_0277,sub_00687,start,enterprise,2026-01-28T14:38:39Z
subevt_001098,cust_0346,sub_00473,renew,pro,2026-01-21T23:15:52Z
subevt_002125,cust_0092,sub_00924,renew,basic,2026-01-29T03:03:16Z
subevt_001282,cust_0332,sub_00550,renew,enterprise,2026-01-18T04:43:50Z
subevt_001302,cust_0003,sub_00561,start,basic,2026-01-12T14:11:49Z
subevt_000911,cust_0313,sub_00394,renew,pro,2026-01-29T02:44:27Z
subevt_000459,cust_0300,sub_00193,renew,pro,2026-01-31T22:51:59Z
subevt_001527,cust_0340,sub_00663,start,basic,2026-01-02T09:10:41Z
subevt_001079,cust_0023,sub_00464,renew,basic,2026-01-31T08:46:50Z
subevt_000801,cust_0139,sub_00343,renew,pro,2026-01-29T06:24:03Z
subevt_000036,cust_0351,sub_00014,start,basic,2026-01-21T17:36:17Z
subevt_000468,cust_0020,sub_00197,renew,basic,2026-01-31T01:43:15Z
subevt_001636,cust_0250,sub_00710,start,pro,2026-01-05T12:15:43Z
subevt_001998,cust_0261,sub_00868,start,enterprise,2026-01-31T21:12:30Z
subevt_000971,cust_0187,sub_00418,start,basic,2026-01-25T23:29:22Z
subevt_000184,cust_0229,sub_00075,start,pro,2026-01-10T06:45:07Z
subevt_000935,cust_0086,sub_00402,cancel,pro,2026-01-09T05:16:12Z
subevt_001059,cust_0058,sub_00455,renew,pro,2026-01-26T11:50:58Z
subevt_000312,cust_0154,sub_00133,renew,basic,2026-01-19T10:14:44Z
subevt_001575,cust_0231,sub_00684,renew,enterprise,2026-01-13T11:39:29Z
subevt_002150,cust_0160,sub_00936,renew,basic,2026-01-27T09:30:42Z
subevt_000875,cust_0111,sub_00378,renew,enterprise,2026-01-15T17:04:56Z
subevt_002315,cust_0318,sub_01009,renew,enterprise,2026-01-26T19:59:33Z
subevt_001458,cust_0072,sub_00631,renew,basic,2026-01-15T13:10:48Z
subevt_000296,cust_0024,sub_00124,cancel,basic,2026-01-31T17:00:15Z
subevt_000205,cust_0185,sub_00085,renew,pro,2026-01-14T10:16:05Z
subevt_000589,cust_0194,sub_00249,renew,pro,2026-01-26T02:44:00Z
subevt_000418,cust_0047,sub_00176,renew,pro,2026-01-31T05:16:38Z
subevt_000278,cust_0175,sub_00119,start,basic,2026-01-25T00:21:32Z
subevt_000121,cust_0246,sub_00046,renew,basic,2026-01-29T17:27:58Z
subevt_002065,cust_0005,sub_00899,renew,basic,2026-01-12T18:41:53Z
subevt_001833,cust_0332,sub_00800,renew,basic,2026-01-20T16:45:27Z
subevt_000975,cust_0079,sub_00420,start,basic,2026-01-18T23:54:48Z
subevt_000014,cust_0144,sub_00005,cancel,basic,2026-01-16T11:32:43Z
subevt_000044,cust_0256,sub_00017,renew,basic,2026-01-12T13:30:43Z
subevt_000652,cust_0045,sub_00277,cancel,basic,2026-01-16T01:53:10Z
subevt_001087,cust_0049,sub_00468,start,pro,2026-01-12T03:49:43Z
subevt_002223,cust_0082,sub_00968,start,basic,2026-01-25T15:31:42Z
subevt_001235,cust_0002,sub_00530,renew,enterprise,2026-01-27T04:04:32Z
subevt_001618,cust_0311,sub_00703,start,pro,2026-01-14T19:59:52Z
subevt_001609,cust_0055,sub_00698,cancel,enterprise,2026-01-21T03:26:59Z
subevt_002133,cust_0320,sub_00929,start,basic,2026-01-24T20:40:47Z
